penatvty,adult_welfare_noncitizen,adult_welfare_naturalized,adult_non_welfare_noncitizen,adult_non_welfare_naturalized,Country
440,8523.1,178.58,11892.99,NA,Nigeria
444,NA,NA,NA,NA,Senegal
447,473.92,NA,NA,NA,Sierra Leone
448,5841.11,NA,NA,NA, Somalia
449,2706.65,NA,2485.56,NA,South Africa
451,NA,NA,NA,NA,Sudan
453,NA,NA,NA,NA,Tanzania
454,NA,NA,260.17,NA,Togo
457,NA,NA,151.5,NA,Uganda
459,429.24,NA,NA,NA,Zaire
460,NA,NA,NA,NA,Zambia
461,NA,NA,NA,2332.45,Zimbabwe
462,754.8,1359.79,14722.49,NA,"Africa, not specified"
501,NA,NA,2156.38,NA,Australia
508,1347.93,NA,NA,2333.94,Fiji
511,546.04,NA,NA,NA,Marshall Islands
512,8871.58,NA,1249.37,NA, Micronesia
515,NA,NA,1364.51,NA,New Zealand
523,NA,NA,190.52,NA,Tonga
527,NA,446.64,NA,NA,Samoa
555,9943.97,NA,NA,NA,Elsewhere
